Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
WorkbenchPowerCellDesc,blocks,Block,,,"The Oakraven Power Workbench allows players to create Oakraven Battery Banks, Oakraven Generators, Oakraven Solar Arrays, Oakraven Power Cells, and Oakraven Solar Cells.",,,,,,,,,,,,,,
CrystalRock,blocks,Block,,,Crystal Rock,,,,,,,,,,,,,,
CrystalRockDesc,blocks,Block,,,Crystal Rock (Chop),,,,,,,,,,,,,,
BlueRock,blocks,Block,,,Blue Rock,,,,,,,,,,,,,,
BlueRockDesc,blocks,Block,,,Blue Rock (Chop),,,,,,,,,,,,,,
PowerCell,items,Item,,,Oakraven Power Cell,,,,,,,,,,,,,,
PowerCellDesc,items,Item,,,The Oakraven Power Cell stores electrical energy and can power connected objects when housed in an Oakraven Battery Bank. It can be recharged directly in an Oakraven Generator or when the Oakraven Battery Bank is connected to an Oakraven Solar Array or Oakraven Turret.,,,,,,,,,,,,,,
solarCell,items,Item,,,Oakraven Solar Cell,,,,,,,,,,,,,,
solarCellDesc,items,Item,,,The Oakraven Solar Cell harnesses energy when added to the Oakraven Solar Array or Oakraven Turret.,,,,,,,,,,,,,,
resourceCrystalRock,items,Item,,,Crystal Rock,,,,,,,,,,,,,,
resourceCrystalRockDesc,items,Item,,,Crystal Rock is used in the manufacture of the Oakraven Power Cell.,,,,,,,,,,,,,,
resourceBlueRock,items,Item,,,Blue Rock,,,,,,,,,,,,,,
resourceBlueRockDesc,items,Item,,,Blue Rock is used in the manufacture of the Oakraven Solar Cell.,,,,,,,,,,,,,,
aoonews,,,,,"This is the first stable release for A21, at least we hope it is stable. Please report any issues to our Discord. \n\n There are not any AOO Pregens right now. You must use a new RWG World that has been generated with AOO Installed.",,,,,,,,,,,,,,
wksMagazineMachine,,,,,Magazine Vending Machine,,,,,,,,,,,,,,
blockcommand_TeddyBear,,,,,Bet on Teddy Bear,,,,,,,,,,,,,,
blockcommand_Scissors,,,,,Bet on Scissors,,,,,,,,,,,,,,
blockcommand_SoccerBall,,,,,Bet on Soccer Ball,,,,,,,,,,,,,,
blockcommand_Dummy,,,,,Do Not Bet,,,,,,,,,,,,,,
modDyeBasicAmber420,,,,,Dye: (Basic) Amber,,,,,,,,,,,,,,
modDyeBasicBlue420,,,,,Dye: (Basic) Blue,,,,,,,,,,,,,,
modDyeBasicBrown420,,,,,Dye: (Basic) Brown,,,,,,,,,,,,,,
modDyeBasicFuchsia420,,,,,Dye: (Basic) Fuchsia,,,,,,,,,,,,,,
modDyeBasicGreen420,,,,,Dye: (Basic) Green,,,,,,,,,,,,,,
modDyeBasicGrey420,,,,,Dye: (Basic) Grey,,,,,,,,,,,,,,
modDyeBasicIndigo420,,,,,Dye: (Basic) Indigo,,,,,,,,,,,,,,
modDyeBasicLime420,,,,,Dye: (Basic) Lime,,,,,,,,,,,,,,
modDyeBasicOrange420,,,,,Dye: (Basic) Orange,,,,,,,,,,,,,,
modDyeBasicPink420,,,,,Dye: (Basic) Pink,,,,,,,,,,,,,,
modDyeBasicPurple420,,,,,Dye: (Basic) Purple,,,,,,,,,,,,,,
modDyeBasicRed420,,,,,Dye: (Basic) Red,,,,,,,,,,,,,,
modDyeBasicRose420,,,,,Dye: (Basic) Rose,,,,,,,,,,,,,,
modDyeBasicSilver420,,,,,Dye: (Basic) Silver,,,,,,,,,,,,,,
modDyeBasicTeal420,,,,,Dye: (Basic) Teal,,,,,,,,,,,,,,
modDyeBasicTrueBlack420,,,,,Dye: (Basic) Void Black,,,,,,,,,,,,,,
modDyeBasicBlack420,,,,,Dye: (Basic) Black,,,,,,,,,,,,,,
modDyeBasicViolet420,,,,,Dye: (Basic) Violet,,,,,,,,,,,,,,
modDyeBasicYellow420,,,,,Dye: (Basic) Yellow,,,,,,,,,,,,,,
modDyeBasicEmperors420,,,,,Dye: (Basic) The Emperors new dye ,,,,,,,,,,,,,,
modDyeBasicEmperors420Desc,,,,,Look at all the pretty colours!,,,,,,,,,,,,,,
dyeVat420,,,,,Dye Vat,,,,,,,,,,,,,,
dyeVat420Desc,,,,,A station specifically for crafting dyes,,,,,,,,,,,,,,
modDyeAFGreyAsh420,,,,,Dye: (Armed Forces-Grey) Ash,,,,,,,,,,,,,,
modDyeAFGreyBlackCoral420,,,,,Dye: (Armed Forces-Grey) Black Coral,,,,,,,,,,,,,,
modDyeAFGreyCadet420,,,,,Dye: (Armed Forces-Grey) Cadet,,,,,,,,,,,,,,
modDyeAFGreyCharcoal420,,,,,Dye: (Armed Forces-Grey) Charcoal,,,,,,,,,,,,,,
modDyeAFGreyDarkSlate420,,,,,Dye: (Armed Forces-Grey) Dark Slate,,,,,,,,,,,,,,
modDyeAFGreyGunmetal420,,,,,Dye: (Armed Forces-Grey) Gunmetal,,,,,,,,,,,,,,
modDyeAFGreenArmy420,,,,,Dye: (Armed Forces-Green) Army,,,,,,,,,,,,,,
modDyeAFGreenArtichoke420,,,,,Dye: (Armed Forces-Green) Artichoke,,,,,,,,,,,,,,
modDyeAFGreenDarkJungle420,,,,,Dye: (Armed Forces-Green) Dark Jungle,,,,,,,,,,,,,,
modDyeAFGreenDarkMoss420,,,,,Dye: (Armed Forces-Green) Dark Moss,,,,,,,,,,,,,,
modDyeAFGreenHunter420,,,,,Dye: (Armed Forces-Green) Hunter,,,,,,,,,,,,,,
modDyeAFGreenMustard420,,,,,Dye: (Armed Forces-Green) Mustard,,,,,,,,,,,,,,
modDyeAFGreenOldMoss420,,,,,Dye: (Armed Forces-Green) Old Moss,,,,,,,,,,,,,,
modDyeAFGreenBlackOlive420,,,,,Dye: (Armed Forces-Green) Black Olive,,,,,,,,,,,,,,
modDyeAFGreenOlive420,,,,,Dye: (Armed Forces-Green) Olive,,,,,,,,,,,,,,
modDyeAFGreenOliveLight420,,,,,Dye: (Armed Forces-Green) Olive Light,,,,,,,,,,,,,,
modDyeAFBrownKhaki420,,,,,Dye: (Armed Forces-Brown) Khaki,,,,,,,,,,,,,,
modDyeAFBrownDarkKhaki420,,,,,Dye: (Armed Forces-Brown) Dark Khaki,,,,,,,,,,,,,,
modDyeAFBrownSand420,,,,,Dye: (Armed Forces-Brown) Sand,,,,,,,,,,,,,,
modDyeAFBrownDesert420,,,,,Dye: (Armed Forces-Brown) Desert,,,,,,,,,,,,,,
modDyeAFBrownDirt420,,,,,Dye: (Armed Forces-Brown) Dirt,,,,,,,,,,,,,,
modDyeAFBrownEcru420,,,,,Dye: (Armed Forces-Brown) Ecru,,,,,,,,,,,,,,
modDyeAFBrownFieldDrab420,,,,,Dye: (Armed Forces-Brown) Field Drab,,,,,,,,,,,,,,
modDyeAFBluePolice420,,,,,Dye: (Armed Forces-Blue) Police,,,,,,,,,,,,,,
modDyeAFBluePrussian420,,,,,Dye: (Armed Forces-Blue) Prussian,,,,,,,,,,,,,,
modDyeAFBlueQueen420,,,,,Dye: (Armed Forces-Blue) Queen,,,,,,,,,,,,,,
modDyeAFBlueNavy420,,,,,Dye: (Armed Forces-Blue) Navy,,,,,,,,,,,,,,
modDyeAFBlueIndigo420,,,,,Dye: (Armed Forces-Blue) Indigo,,,,,,,,,,,,,,
modDyeAFBlueMaastricht420,,,,,Dye: (Armed Forces-Blue) Maastricht,,,,,,,,,,,,,,
modDyeLeatherBlack420,,,,,Dye: (Leather) Black,,,,,,,,,,,,,,
modDyeLeatherTanned420,,,,,Dye: (Leather) Tanned,,,,,,,,,,,,,,
modDyeLeatherDarkRed420,,,,,Dye: (Leather) Dark Red,,,,,,,,,,,,,,
modDyeLeatherBrown420,,,,,Dye: (Leather) Brown,,,,,,,,,,,,,,
modDyeLeatherSeal420,,,,,Dye: (Leather) Seal,,,,,,,,,,,,,,
modDyeLeatherRusset420,,,,,Dye: (Leather) Russet,,,,,,,,,,,,,,
modDyeLeatherDeer420,,,,,Dye: (Leather) Deer,,,,,,,,,,,,,,
modDyeLeatherTuscan420,,,,,Dye: (Leather) Tuscan,,,,,,,,,,,,,,
modDyeLeatherSaddle420,,,,,Dye: (Leather) Saddle,,,,,,,,,,,,,,
modDyeLeatherSienna420,,,,,Dye: (Leather) Sienna,,,,,,,,,,,,,,
modDyeMaximumBlue420,,,,,Dye: (Maximum) Blue,,,,,,,,,,,,,,
modDyeMaximumBlueGreen420,,,,,Dye: (Maximum) Blue Green,,,,,,,,,,,,,,
modDyeMaximumBluePurple420,,,,,Dye: (Maximum) Blue Purple,,,,,,,,,,,,,,
modDyeMaximumGreen420,,,,,Dye: (Maximum) Green,,,,,,,,,,,,,,
modDyeMaximumGreenYellow420,,,,,Dye: (Maximum) Green Yellow,,,,,,,,,,,,,,
modDyeMaximumOrange420,,,,,Dye: (Maximum) Orange,,,,,,,,,,,,,,
modDyeMaximumPurple420,,,,,Dye: (Maximum) Purple,,,,,,,,,,,,,,
modDyeMaximumPink420,,,,,Dye: (Maximum) Pink,,,,,,,,,,,,,,
modDyeMaximumRed420,,,,,Dye: (Maximum) Red,,,,,,,,,,,,,,
modDyeMaximumRedPurple420,,,,,Dye: (Maximum) Red Purple,,,,,,,,,,,,,,
modDyeMaximumViolet420,,,,,Dye: (Maximum) Violet,,,,,,,,,,,,,,
modDyeMaximumYellow420,,,,,Dye: (Maximum) Yellow,,,,,,,,,,,,,,
modDyeMaximumYellowRed420,,,,,Dye: (Maximum) Yellow Red,,,,,,,,,,,,,,
modDyeMetallicBlue420,,,,,Dye: (Metallic) Blue,,,,,,,,,,,,,,
modDyeMetallicBronze420,,,,,Dye: (Metallic) Bronze,,,,,,,,,,,,,,
modDyeMetallicBrown420,,,,,Dye: (Metallic) Brown,,,,,,,,,,,,,,
modDyeMetallicGold420,,,,,Dye: (Metallic) Gold,,,,,,,,,,,,,,
modDyeMetallicGreen420,,,,,Dye: (Metallic) Green,,,,,,,,,,,,,,
modDyeMetallicOrange420,,,,,Dye: (Metallic) Orange,,,,,,,,,,,,,,
modDyeMetallicPink420,,,,,Dye: (Metallic) Pink,,,,,,,,,,,,,,
modDyeMetallicRed420,,,,,Dye: (Metallic) Red,,,,,,,,,,,,,,
modDyeMetallicSeaweed420,,,,,Dye: (Metallic) Seaweed,,,,,,,,,,,,,,
modDyeMetallicSilver420,,,,,Dye: (Metallic) Silver,,,,,,,,,,,,,,
modDyeMetallicSunburst420,,,,,Dye: (Metallic) Sunburst,,,,,,,,,,,,,,
modDyeMetallicViolet420,,,,,Dye: (Metallic) Violet,,,,,,,,,,,,,,
modDyeMetallicYellow420,,,,,Dye: (Metallic) Yellow,,,,,,,,,,,,,,
modDyeNeonBlue420,,,,,Dye: (Neon) Blue,,,,,,,,,,,,,,
modDyeNeonCyan420,,,,,Dye: (Neon) Cyan,,,,,,,,,,,,,,
modDyeNeonFuchsia420,,,,,Dye: (Neon) Fuchsia,,,,,,,,,,,,,,
modDyeNeonGreen420,,,,,Dye: (Neon) Green,,,,,,,,,,,,,,
modDyeNeonLime420,,,,,Dye: (Neon) Lime,,,,,,,,,,,,,,
modDyeNeonOrange420,,,,,Dye: (Neon) Orange,,,,,,,,,,,,,,
modDyeNeonPink420,,,,,Dye: (Neon) Pink,,,,,,,,,,,,,,
modDyeNeonPurple420,,,,,Dye: (Neon) Purple,,,,,,,,,,,,,,
modDyeNeonRed420,,,,,Dye: (Neon) Red,,,,,,,,,,,,,,
modDyeNeonTurquoise420,,,,,Dye: (Neon) Turquoise,,,,,,,,,,,,,,
modDyeNeonYellow420,,,,,Dye: (Neon) Yellow,,,,,,,,,,,,,,
modDyePaleAqua420,,,,,Dye: (Pale) Aqua,,,,,,,,,,,,,,
modDyePaleBlue420,,,,,Dye: (Pale) Blue,,,,,,,,,,,,,,
modDyePaleBrown420,,,,,Dye: (Pale) Brown,,,,,,,,,,,,,,
modDyePaleCarmine420,,,,,Dye: (Pale) Carmine,,,,,,,,,,,,,,
modDyePaleCerulean420,,,,,Dye: (Pale) Cerulean,,,,,,,,,,,,,,
modDyePaleChestnut420,,,,,Dye: (Pale) Chestnut,,,,,,,,,,,,,,
modDyePaleCopper420,,,,,Dye: (Pale) Copper,,,,,,,,,,,,,,
modDyePaleCornflower420,,,,,Dye: (Pale) Cornflower,,,,,,,,,,,,,,
modDyePaleCyan420,,,,,Dye: (Pale) Cyan,,,,,,,,,,,,,,
modDyePaleGold420,,,,,Dye: (Pale) Gold,,,,,,,,,,,,,,
modDyePaleGoldenrod420,,,,,Dye: (Pale) Goldenrod,,,,,,,,,,,,,,
modDyePaleGreen420,,,,,Dye: (Pale) Green,,,,,,,,,,,,,,
modDyePaleLavender420,,,,,Dye: (Pale) Lavender,,,,,,,,,,,,,,
modDyePaleMagenta420,,,,,Dye: (Pale) Magenta,,,,,,,,,,,,,,
modDyePaleRose420,,,,,Dye: (Pale) Rose,,,,,,,,,,,,,,
modDyePalePink420,,,,,Dye: (Pale) Pink,,,,,,,,,,,,,,
modDyePalePlum420,,,,,Dye: (Pale) Plum,,,,,,,,,,,,,,
modDyePaleRed420,,,,,Dye: (Pale) Red,,,,,,,,,,,,,,
modDyePaleRobinEgg420,,,,,Dye: (Pale) Robin Egg,,,,,,,,,,,,,,
modDyePaleSilver420,,,,,Dye: (Pale) Silver,,,,,,,,,,,,,,
modDyePaleSpringBud420,,,,,Dye: (Pale) Spring Bud,,,,,,,,,,,,,,
modDyePaleTaupe420,,,,,Dye: (Pale) Taupe,,,,,,,,,,,,,,
modDyePaleTurquoise420,,,,,Dye: (Pale) Turquoise,,,,,,,,,,,,,,
modDyePaleViolet420,,,,,Dye: (Pale) Violet,,,,,,,,,,,,,,
modDyePastelBlue420,,,,,Dye: (Pastel) Blue,,,,,,,,,,,,,,
modDyePastelBronze420,,,,,Dye: (Pastel) Bronze,,,,,,,,,,,,,,
modDyePastelBrown420,,,,,Dye: (Pastel) Brown,,,,,,,,,,,,,,
modDyePastelGrey420,,,,,Dye: (Pastel) Grey,,,,,,,,,,,,,,
modDyePastelGreen420,,,,,Dye: (Pastel) Green,,,,,,,,,,,,,,
modDyePastelMagenta420,,,,,Dye: (Pastel) Magenta,,,,,,,,,,,,,,
modDyePastelOrange420,,,,,Dye: (Pastel) Orange,,,,,,,,,,,,,,
modDyePastelPink420,,,,,Dye: (Pastel) Pink,,,,,,,,,,,,,,
modDyePastelPurple420,,,,,Dye: (Pastel) Purple,,,,,,,,,,,,,,
modDyePastelRed420,,,,,Dye: (Pastel) Red,,,,,,,,,,,,,,
modDyePastelViolet420,,,,,Dye: (Pastel) Violet,,,,,,,,,,,,,,
modDyePastelYellow420,,,,,Dye: (Pastel) Yellow,,,,,,,,,,,,,,
modDyePersianBlue420,,,,,Dye: (Persian) Blue,,,,,,,,,,,,,,
modDyePersianGreen420,,,,,Dye: (Persian) Green,,,,,,,,,,,,,,
modDyePersianIndigo420,,,,,Dye: (Persian) Indigo,,,,,,,,,,,,,,
modDyePersianOrange420,,,,,Dye: (Persian) Orange,,,,,,,,,,,,,,
modDyePersianPink420,,,,,Dye: (Persian) Pink,,,,,,,,,,,,,,
modDyePersianPlum420,,,,,Dye: (Persian) Plum,,,,,,,,,,,,,,
modDyePersianRed420,,,,,Dye: (Persian) Red,,,,,,,,,,,,,,
modDyePersianRose420,,,,,Dye: (Persian) Rose,,,,,,,,,,,,,,
modDyePhillipineBlue420,,,,,Dye: (Phillipine) Blue,,,,,,,,,,,,,,
modDyePhillipineBronze420,,,,,Dye: (Phillipine) Bronze,,,,,,,,,,,,,,
modDyePhillipineBrown420,,,,,Dye: (Phillipine) Brown,,,,,,,,,,,,,,
modDyePhillipineGold420,,,,,Dye: (Phillipine) Gold,,,,,,,,,,,,,,
modDyePhillipineGoldenYellow420,,,,,Dye: (Phillipine) Golden Yellow,,,,,,,,,,,,,,
modDyePhillipineGreen420,,,,,Dye: (Phillipine) Green,,,,,,,,,,,,,,
modDyePhillipineGrey420,,,,,Dye: (Phillipine) Grey,,,,,,,,,,,,,,
modDyePhillipineIndigo420,,,,,Dye: (Phillipine) Indigo,,,,,,,,,,,,,,
modDyePhillipineOrange420,,,,,Dye: (Phillipine) Orange,,,,,,,,,,,,,,
modDyePhillipinePink420,,,,,Dye: (Phillipine) Pink,,,,,,,,,,,,,,
modDyePhillipineRed420,,,,,Dye: (Phillipine) Red,,,,,,,,,,,,,,
modDyePhillipineSilver420,,,,,Dye: (Phillipine) Silver,,,,,,,,,,,,,,
modDyePhillipineSkyBlue420,,,,,Dye: (Phillipine) Sky Blue,,,,,,,,,,,,,,
modDyePhillipineViolet420,,,,,Dye: (Phillipine) Violet,,,,,,,,,,,,,,
modDyePhillipineYellow420,,,,,Dye: (Phillipine) Yellow,,,,,,,,,,,,,,
modDyeRoyalBlue420,,,,,Dye: (Royal) Blue,,,,,,,,,,,,,,
modDyeRoyalAzure420,,,,,Dye: (Royal) Azure,,,,,,,,,,,,,,
modDyeRoyalFuchsia420,,,,,Dye: (Royal) Fuchsia,,,,,,,,,,,,,,
modDyeRoyalGreen420,,,,,Dye: (Royal) Green,,,,,,,,,,,,,,
modDyeRoyalBrown420,,,,,Dye: (Royal) Brown,,,,,,,,,,,,,,
modDyeRoyalOrange420,,,,,Dye: (Royal) Orange,,,,,,,,,,,,,,
modDyeRoyalPink420,,,,,Dye: (Royal) Pink,,,,,,,,,,,,,,
modDyeRoyalPurple420,,,,,Dye: (Royal) Purple,,,,,,,,,,,,,,
modDyeRoyalRed420,,,,,Dye: (Royal) Red,,,,,,,,,,,,,,
modDyeRoyalYellow420,,,,,Dye: (Royal) Yellow,,,,,,,,,,,,,,
modDyeSpanishBlue420,,,,,Dye: (Spanish) Blue,,,,,,,,,,,,,,
modDyeSpanishBistre420,,,,,Dye: (Spanish) Bistre,,,,,,,,,,,,,,
modDyeSpanishCarmine420,,,,,Dye: (Spanish) Carmine,,,,,,,,,,,,,,
modDyeSpanishCrimson420,,,,,Dye: (Spanish) Crimson,,,,,,,,,,,,,,
modDyeSpanishGreen420,,,,,Dye: (Spanish) Green,,,,,,,,,,,,,,
modDyeSpanishOrange420,,,,,Dye: (Spanish) Orange,,,,,,,,,,,,,,
modDyeSpanishPink420,,,,,Dye: (Spanish) Pink,,,,,,,,,,,,,,
modDyeSpanishRed420,,,,,Dye: (Spanish) Red,,,,,,,,,,,,,,
modDyeSpanishGrey420,,,,,Dye: (Spanish) Grey,,,,,,,,,,,,,,
modDyeSpanishPurple420,,,,,Dye: (Spanish) Purple,,,,,,,,,,,,,,
modDyeSpanishViridian420,,,,,Dye: (Spanish) Viridian,,,,,,,,,,,,,,
modDyeSpanishViolet420,,,,,Dye: (Spanish) Violet,,,,,,,,,,,,,,
modDyeSpanishYellow420,,,,,Dye: (Spanish) Yellow,,,,,,,,,,,,,,
modDyeBubbleGumPink420,,,,,Dye: (User) Bubble Gum Pink,,,,,,,,,,,,,,
BossSpawnerTimer_AOO,,,,,Boss Spawner - Charging,,,,,,,,,,,,,,
BossSpawner_AOO,,,,,Boss Spawner - Ready,,,,,,,,,,,,,,
AOOQuestsDesc,,,,,AOO Quest Skill Tree,,,,,,,,,,,,,,
researchFacility,,,,,Self Destruct - Research Facility,,,,,,,,,,,,,,
AOOCraftingDesc,,,,,Unlock the Oblivion Master Workbench and reduce crafting time.,,,,,,,,,,,,,,
AOOCraftingLongDesc,,,,,Unlock the Oblivion Master Workbench and reduce crafting time.,,,,,,,,,,,,,,
AOOSkillPoint,,,,,AOO Skill Point,,,,,,,,,,,,,,
AOOSkillPointDesc,,,,,Convert this skill point into any AOO specific skill point!,,,,,,,,,,,,,,
AOOQuestSkills,,,,,AOO Quest Skill Point,,,,,,,,,,,,,,
AOOQuestSkillsDesc,,,,,Use this to add a point into the AOO Quest skill tree.,,,,,,,,,,,,,,
AOOCraftingSkills,,,,,AOO Crafting Skill Point,,,,,,,,,,,,,,
AOOCraftingSkillsDesc,,,,,Use this to add a point into the AOO Crafting skill tree.,,,,,,,,,,,,,,
AOOFarmingSkills,,,,,AOO Farming Skill Point,,,,,,,,,,,,,,
AOOFarmingSkillsDesc,,,,,Use this to add a point into the AOO Farming skill tree.,,,,,,,,,,,,,,
AOOWeaponSkills,,,,,AOO Weapon Skill Point,,,,,,,,,,,,,,
AOOWeaponSkillsDesc,,,,,Use this to add a point into the AOO Weapon skill tree.,,,,,,,,,,,,,,
AOOCookingSkills,,,,,AOO Cooking Skill Point,,,,,,,,,,,,,,
AOOCookingSkillsDesc,,,,,Use this to add a point into the AOO Cooking skill tree.,,,,,,,,,,,,,,
AOOForgeSkills,,,,,AOO Forge Skill Point,,,,,,,,,,,,,,
AOOForgeSkillsDesc,,,,,Use this to add a point into the AOO Forge skill tree.,,,,,,,,,,,,,,
AOOCloningSkills,,,,,AOO Cloning Skill Point,,,,,,,,,,,,,,
AOOCloningSkillsDesc,,,,,Use this to add a point into the AOO Cloning skill tree.,,,,,,,,,,,,,,
AOOAlchemySkills,,,,,AOO Alchemy Skill Point,,,,,,,,,,,,,,
AOOAlchemySkillsDesc,,,,,Use this to add a point into the AOO Alchemy skill tree.,,,,,,,,,,,,,,
AOOHealthSkills,,,,,AOO Health Skill Point,,,,,,,,,,,,,,
AOOHealthSkillsDesc,,,,,Use this to add a point into the AOO Health skill tree.,,,,,,,,,,,,,,
AOOStaminaSkills,,,,,AOO Stamina Skill Point,,,,,,,,,,,,,,
AOOStaminaSkillsDesc,,,,,Use this to add a point into the AOO Stamina skill tree.,,,,,,,,,,,,,,
AOOToolsSkills,,,,,AOO Tool Skill Point,,,,,,,,,,,,,,
AOOToolsSkillsDesc,,,,,Use this to add a point into the AOO Tool skill tree.,,,,,,,,,,,,,,
CloningL1AOO,,,,,Crystal Power Generator,,,,,,,,,,,,,,
CloningL1AOODesc,,,,,This Power Generator is required to power a cloning station. Producing Clones takes MO Power!,,,,,,,,,,,,,,
CloningL2AOO,,,,,Empty Cloning Chamber,,,,,,,,,,,,,,
CloningL2AOODesc,,,,,Used to upgrade the Cloning station to be able to clone Animals and Humans.,,,,,,,,,,,,,,
CloningL3AOO,,,,,Empty Enhanced Cloning Chamber,,,,,,,,,,,,,,
CloningL3AOODesc,,,,,Used to upgrade the Cloning station to be able to Enhance your cloning ability and produce clones for less resources.,,,,,,,,,,,,,,
ButcherInfo,,,,,Put your carcass or Zombie Corpse in and wait! \nWill take about 20 seconds per carcass/corpse.,,,,,,,,,,,,,,
CrusherInfo,,,,,Put your Vehicle in and wait! \nWill take about 60 seconds per Vehicle.,,,,,,,,,,,,,,
EggChickenInfo,,,,,Feed your Chicken! Min 10 Animal Feed.\nWill take about 30 Minutes.,,,,,,,,,,,,,,
MilkingCowInfo,,,,,Feed your Cow! Min 10 Animal Feed.\nWill take about 30 Minutes.,,,,,,,,,,,,,,
ResurrectionInfo,,,,,Put your Zombie Corpse and Res Potion! Will take about 5 Minutes seconds per Zombie.,,,,,,,,,,,,,,
PlantInfo,,,,,"Water your plants for resources. Will take boiled, Murky or Buckets of water.",,,,,,,,,,,,,,
zombieSkeletonBoss_03_AOO,,,,,James the Conqueror (Skeleton Overlord),,,,,,,,,,,,,,
zombieSkeletonBoss_05_AOO,,,,,Michelle the Exterminator (Skeleton Overlord),,,,,,,,,,,,,,
zombieWeeperBlackT1AOO,,,,,Death Weeper,,,,,,,,,,,,,,
zombieWeeperRedT1AOO,,,,,Fire Weeper,,,,,,,,,,,,,,
zombieWeeperGreenT1AOO,,,,,Forest Weeper,,,,,,,,,,,,,,
zombieWeeperBlueT1AOO,,,,,Frozen Weeper,,,,,,,,,,,,,,
zombieWeeperMarbleT1AOO,,,,,Purified Weeper,,,,,,,,,,,,,,
zombieWeeperStoneT1AOO,,,,,Stone Blood Weeper,,,,,,,,,,,,,,
zombieWeeperMetalT1AOO,,,,,Electric Weeper,,,,,,,,,,,,,,
buffIllFoodPoisoning01Name,,,,,Food Poisoning,,,,,,,,,,,,,,
zombieT2_01AOO,,,,,Cap'n Crunch Transformed (Boss),,,,,,,,,,,,,,
zombieT2_02AOO,,,,,Killer B Transformed (Boss),,,,,,,,,,,,,,
zombieT2_03AOO,,,,,MPLogue Transformed (Boss),,,,,,,,,,,,,,
zombieT2_04AOO,,,,,Braede Transformed (Boss),,,,,,,,,,,,,,
zombieT2_05AOO,,,,,SnowBee Transformed (Boss),,,,,,,,,,,,,,
zombieT2_SlugAOO,,,,,Sunshine Transformed (Boss),,,,,,,,,,,,,,
zombieT2_MutantAOO,,,,,Daijin Transformed (Boss),,,,,,,,,,,,,,
zombieT3_JuggernautAOO,,,,,Juggernaut (Boss),,,,,,,,,,,,,,
zombieT3_CockroachAOO,,,,,Cockroach (Boss),,,,,,,,,,,,,,
zombieT3_ReptileAOO,,,,,Reptile (Boss),,,,,,,,,,,,,,
zombieNightWatcher01AOO,,,,,Night Watcher (Krix),,,,,,,,,,,,,,
zombieNightWatcher02AOO,,,,,Night Watcher (Bap),,,,,,,,,,,,,,
zombieNightWatcher03AOO,,,,,Night Watcher (Piper),,,,,,,,,,,,,,
zombieNightWatcher04AOO,,,,,Night Watcher (Shadow),,,,,,,,,,,,,,
zombieNightWatcher05AOO,,,,,Night Watcher (Zam),,,,,,,,,,,,,,
zombieMutantFighterT1AOO,,,,,Mutant Fighter,,,,,,,,,,,,,,
zombieMutantFighterT2AOO,,,,,Mutant Fighter,,,,,,,,,,,,,,
zombieMutantFighterT3AOO,,,,,Mutant Fighter,,,,,,,,,,,,,,
zombieMutantFighterT4AOO,,,,,Mutant Fighter,,,,,,,,,,,,,,
zombieCrazyT1AOO,,,,,Crazeee,,,,,,,,,,,,,,
zombieCrazyT2AOO,,,,,Crazeee,,,,,,,,,,,,,,
zombieCrazyT3AOO,,,,,Crazeee,,,,,,,,,,,,,,
zombieCrazyT4AOO,,,,,Crazeee,,,,,,,,,,,,,,
